season,constructorName,points,wins,position
2017,MERCEDES,668.0,12,1
2017,FERRARI,522.0,5,2
2017,RED BULL,368.0,3,3
2017,ASTON MARTIN,187.0,0,4
2017,WILLIAMS,83.0,0,5
2017,ALPINE,57.0,0,6
2017,RB,53.0,0,7
2017,HAAS,47.0,0,8
2017,MCLAREN,30.0,0,9
2017,SAUBER,5.0,0,10
2018,MERCEDES,655.0,11,1
2018,FERRARI,571.0,6,2
2018,RED BULL,419.0,4,3
2018,ALPINE,122.0,0,4
2018,ASTON MARTIN,111.0,0,5
2018,HAAS,93.0,0,6
2018,MCLAREN,62.0,0,7
2018,SAUBER,48.0,0,8
2018,RB,33.0,0,9
2018,WILLIAMS,7.0,0,10
2019,MERCEDES,739.0,15,1
2019,FERRARI,504.0,3,2
2019,RED BULL,417.0,3,3
2019,MCLAREN,145.0,0,4
2019,ALPINE,91.0,0,5
2019,RB,85.0,0,6
2019,ASTON MARTIN,73.0,0,7
2019,SAUBER,57.0,0,8
2019,HAAS,28.0,0,9
2019,WILLIAMS,1.0,0,10
2020,MERCEDES,573.0,13,1
2020,RED BULL,319.0,2,2
2020,MCLAREN,202.0,0,3
2020,ASTON MARTIN,195.0,1,4
2020,ALPINE,181.0,0,5
2020,FERRARI,131.0,0,6
2020,RB,107.0,1,7
2020,SAUBER,8.0,0,8
2020,HAAS,3.0,0,9
2020,WILLIAMS,0.0,0,10
2021,MERCEDES,613.5,9,1
2021,RED BULL,585.5,11,2
2021,FERRARI,323.5,0,3
2021,MCLAREN,275.0,1,4
2021,ALPINE,155.0,1,5
2021,RB,142.0,0,6
2021,ASTON MARTIN,77.0,0,7
2021,WILLIAMS,23.0,0,8
2021,SAUBER,13.0,0,9
2021,HAAS,0.0,0,10
2022,RED BULL,759.0,17,1
2022,FERRARI,554.0,4,2
2022,MERCEDES,515.0,1,3
2022,ALPINE,173.0,0,4
2022,MCLAREN,159.0,0,5
2022,SAUBER,55.0,0,6
2022,ASTON MARTIN,55.0,0,7
2022,HAAS,37.0,0,8
2022,RB,35.0,0,9
2022,WILLIAMS,8.0,0,10
2023,RED BULL,860.0,21,1
2023,MERCEDES,409.0,0,2
2023,FERRARI,406.0,1,3
2023,MCLAREN,302.0,0,4
2023,ASTON MARTIN,280.0,0,5
2023,ALPINE,120.0,0,6
2023,WILLIAMS,28.0,0,7
2023,RB,25.0,0,8
2023,SAUBER,16.0,0,9
2023,HAAS,12.0,0,10
2024,MCLAREN,666.0,6,1
2024,FERRARI,652.0,5,2
2024,RED BULL,589.0,9,3
2024,MERCEDES,468.0,4,4
2024,ASTON MARTIN,94.0,0,5
2024,ALPINE,65.0,0,6
2024,HAAS,58.0,0,7
2024,RB,46.0,0,8
2024,WILLIAMS,17.0,0,9
2024,SAUBER,4.0,0,10
